country_flag,country,capital,continent
a/ab/Flag_of_Panama.svg/100px-Flag_of_Panama.svg.png,Panama,Panama City,North America
f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/100px-Flag_of_Saint_Kitts_and_Nevis.svg.png,Saint Kitts and Nevis,Basseterre,North America
9/9f/Flag_of_Saint_Lucia.svg/100px-Flag_of_Saint_Lucia.svg.png,Saint Lucia,Castries,North America
6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/100px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,Saint Vincent and the Grenadines,Kingstown,North America
a/a4/Flag_of_the_United_States.svg/100px-Flag_of_the_United_States.svg.png,United States,Washington,North America
1/1a/Flag_of_Argentina.svg/100px-Flag_of_Argentina.svg.png,Argentina,Buenos Aires,South America
4/48/Flag_of_Bolivia.svg/100px-Flag_of_Bolivia.svg.png,Bolivia,Sucre,South America
0/05/Flag_of_Brazil.svg/100px-Flag_of_Brazil.svg.png,Brazil,Brasilia,South America
7/78/Flag_of_Chile.svg/100px-Flag_of_Chile.svg.png,Chile,Santiago,South America
2/21/Flag_of_Colombia.svg/100px-Flag_of_Colombia.svg.png,Colombia,Bogota,South America
e/e8/Flag_of_Ecuador.svg/100px-Flag_of_Ecuador.svg.png,Ecuador,Quito,South America
9/99/Flag_of_Guyana.svg/100px-Flag_of_Guyana.svg.png,Guyana,Georgetown,South America
2/27/Flag_of_Paraguay.svg/100px-Flag_of_Paraguay.svg.png,Paraguay,Asuncion,South America
c/cf/Flag_of_Peru.svg/100px-Flag_of_Peru.svg.png,Peru,Lima,South America
6/60/Flag_of_Suriname.svg/100px-Flag_of_Suriname.svg.png,Suriname,Paramaribo,South America
6/64/Flag_of_Trinidad_and_Tobago.svg/100px-Flag_of_Trinidad_and_Tobago.svg.png,Trinidad and Tobago,Port of Spain,South America
f/fe/Flag_of_Uruguay.svg/100px-Flag_of_Uruguay.svg.png,Uruguay,Montevideo,South America
0/06/Flag_of_Venezuela.svg/100px-Flag_of_Venezuela.svg.png,Venezuela,Caracas,South America
b/b9/Flag_of_Australia.svg/100px-Flag_of_Australia.svg.png,Australia,Canberra,Oceania
3/35/Flag_of_the_Cook_Islands.svg/100px-Flag_of_the_Cook_Islands.svg.png,Cook Islands,Avarua,Oceania
e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/100px-Flag_of_the_Federated_States_of_Micronesia.svg.png,Federated States of Micronesia,Palikir,Oceania
b/ba/Flag_of_Fiji.svg/100px-Flag_of_Fiji.svg.png,Fiji,Suva,Oceania
d/d3/Flag_of_Kiribati.svg/100px-Flag_of_Kiribati.svg.png,Kiribati,South Tarawa,Oceania
2/2e/Flag_of_the_Marshall_Islands.svg/100px-Flag_of_the_Marshall_Islands.svg.png,Marshall Islands,Majuro,Oceania
3/30/Flag_of_Nauru.svg/100px-Flag_of_Nauru.svg.png,Nauru,Yaren,Oceania
3/3e/Flag_of_New_Zealand.svg/100px-Flag_of_New_Zealand.svg.png,New Zealand,Wellington,Oceania
0/01/Flag_of_Niue.svg/100px-Flag_of_Niue.svg.png,Niue,Alofi,Oceania
4/48/Flag_of_Palau.svg/100px-Flag_of_Palau.svg.png,Palau,Ngerulmud,Oceania
e/e3/Flag_of_Papua_New_Guinea.svg/100px-Flag_of_Papua_New_Guinea.svg.png,Papua New Guinea,Port Moresby,Oceania
3/31/Flag_of_Samoa.svg/100px-Flag_of_Samoa.svg.png,Samoa,Apia,Oceania
7/74/Flag_of_the_Solomon_Islands.svg/100px-Flag_of_the_Solomon_Islands.svg.png,Solomon Islands,Honiara,Oceania
9/9a/Flag_of_Tonga.svg/100px-Flag_of_Tonga.svg.png,Tonga,Nuku'alofa,Oceania
3/38/Flag_of_Tuvalu.svg/100px-Flag_of_Tuvalu.svg.png,Tuvalu,Funafuti,Oceania
b/bc/Flag_of_Vanuatu.svg/100px-Flag_of_Vanuatu.svg.png,Vanuatu,Port Vila,Oceania
